Year,Winner,Vehicle,Time,Notes
1994,Rod Millen,Toyota Celica AWD Turbo,10:04.060,
1995,Nobuhiro Tajima,Suzuki Escudo,7:53.000,
1996,Rod Millen,Toyota Celica,10:13.640,
1997,Rod Millen,Toyota Celica,10:04.540,
1998,Rod Millen,Toyota Tacoma,10:07.700,
1999,Rod Millen,Toyota Tacoma,10:11.150,
2000,Larry Ragland,2000 GMC Envoy,11:17.660,
2001,Gary Lee Kanawyer,1981 Wells Coyote,10:39.760,
2002,David Donner,1997 Donner Dykstra,10:52.300,
2003,Paul Dallenbach,2000 PVA-01,11:34.700,
2004,Robby Unser,Subaru Impreza STI,11:47.280,
2005,David Donner,Donner/Dykstra Special,11:15.680,
2006,Nobuhiro Tajima,Suzuki Escudo,7:38.900,
2007,Nobuhiro Tajima,Suzuki XL7,10:01.408,
2008,Nobuhiro Tajima,Suzuki XL7,10:18.250,
2009,Nobuhiro Tajima,Suzuki SX4,10:15.368,
2010,Nobuhiro Tajima,Suzuki SX4,10:11.490,
2011,Nobuhiro Tajima,Suzuki SX4,9:51.278,
2012,Rhys Millen,Hyundai Genesis Coupe,9:46.164,
2013,Sébastien Loeb,Peugeot 208 T16 Pikes Peak,8:13.878,
2014,Romain Dumas,Norma M20 RD-Honda,9:05.801,
2015,Rhys Millen,eO PP03,9:07.222,
2016,Romain Dumas,Norma M20 RD-Honda,8:51.445,
2017,Romain Dumas,Norma M20 RD-Honda,9:05.672,
2018,Romain Dumas,Volkswagen I.D. R,7:57.148,
2019,Robin Shute,2018 Wolf TSC-Honda,9:12.476,
2020,Clint Vahsholtz,2013 Ford Open,9:35.490,
2021,Robin Shute,2018 Wolf GB08 TSC-LT-Honda,5:55.246,
2022,Robin Shute,2018 Wolf TSC-FS-Honda,10:09.525,
2023,Robin Shute,2018 Wolf TSC‑FS-Honda,8:40.080,
2024,Romain Dumas,2024 Ford F-150 Lightning SuperTruck,8:53.563,
2025,Simone Faggioli,2018 Nova Proto NP01 Bardahl,3:37.196,
